Device Info:
CPU: Intel64 Family 6 Model 183 Stepping 1, GenuineIntel (28 cores)
GPU: NVIDIA GeForce RTX 4070 SUPER
Memory: 12.2GB free / 31.8GB total
----------
2025-03-19 21:39:30 - Max FPS: 16.06, Min FPS: 9.53, Avg FPS: 13.67, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:31 - Max FPS: 16.39, Min FPS: 9.90, Avg FPS: 13.66, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:32 - Max FPS: 16.11, Min FPS: 9.54, Avg FPS: 14.21, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:34 - Max FPS: 16.13, Min FPS: 7.20, Avg FPS: 13.13, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:35 - Max FPS: 16.10, Min FPS: 11.33, Avg FPS: 14.08, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:36 - Max FPS: 16.02, Min FPS: 11.18, Avg FPS: 13.77, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:37 - Max FPS: 16.00, Min FPS: 9.54, Avg FPS: 13.90, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:38 - Max FPS: 16.27, Min FPS: 11.22, Avg FPS: 14.13, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:39 - Max FPS: 16.27, Min FPS: 11.21, Avg FPS: 14.02, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:40 - Max FPS: 15.74, Min FPS: 9.48, Avg FPS: 13.51, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:41 - Max FPS: 16.11, Min FPS: 11.50, Avg FPS: 14.34, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:42 - Max FPS: 16.11, Min FPS: 11.38, Avg FPS: 13.85, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:43 - Max FPS: 15.87, Min FPS: 11.16, Avg FPS: 13.61, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:44 - Max FPS: 16.05, Min FPS: 10.92, Avg FPS: 14.00, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:45 - Max FPS: 16.00, Min FPS: 11.28, Avg FPS: 13.36, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:46 - Max FPS: 15.97, Min FPS: 9.57, Avg FPS: 13.48, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:47 - Max FPS: 15.87, Min FPS: 9.73, Avg FPS: 13.17, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:48 - Max FPS: 15.73, Min FPS: 9.82, Avg FPS: 12.91, Predictions per frame: 1.00, PPS: 13
2025-03-19 21:39:49 - Max FPS: 15.62, Min FPS: 9.59, Avg FPS: 13.50, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:50 - Max FPS: 15.50, Min FPS: 9.49, Avg FPS: 12.79, Predictions per frame: 1.00, PPS: 13
2025-03-19 21:39:51 - Max FPS: 15.68, Min FPS: 9.57, Avg FPS: 12.96, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:52 - Max FPS: 15.75, Min FPS: 8.19, Avg FPS: 13.59, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:53 - Max FPS: 15.75, Min FPS: 9.71, Avg FPS: 14.00, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:55 - Max FPS: 15.73, Min FPS: 11.49, Avg FPS: 13.14, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:56 - Max FPS: 15.63, Min FPS: 9.57, Avg FPS: 13.05, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:57 - Max FPS: 15.58, Min FPS: 9.36, Avg FPS: 13.17, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:58 - Max FPS: 15.56, Min FPS: 9.58, Avg FPS: 12.87, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:59 - Max FPS: 15.54, Min FPS: 9.78, Avg FPS: 12.90, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:40:00 - Max FPS: 15.35, Min FPS: 9.69, Avg FPS: 13.14, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:40:01 - Max FPS: 14.71, Min FPS: 9.69, Avg FPS: 12.86, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:40:02 - Max FPS: 32.77, Min FPS: 12.54, Avg FPS: 21.49, Predictions per frame: 0.42, PPS: 8
2025-03-19 21:40:03 - Max FPS: 33.90, Min FPS: 13.35, Avg FPS: 30.55, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:40:04 - Max FPS: 35.71, Min FPS: 18.21, Avg FPS: 31.11, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:40:05 - Max FPS: 39.45, Min FPS: 12.42, Avg FPS: 19.95, Predictions per frame: 0.76, PPS: 13
2025-03-19 21:40:06 - Max FPS: 31.25, Min FPS: 11.13, Avg FPS: 16.89, Predictions per frame: 0.88, PPS: 14
2025-03-19 21:40:07 - Max FPS: 15.27, Min FPS: 8.89, Avg FPS: 13.03, Predictions per frame: 1.00, PPS: 13
2025-03-19 21:40:08 - Max FPS: 31.73, Min FPS: 8.01, Avg FPS: 19.96, Predictions per frame: 0.22, PPS: 4
2025-03-19 21:40:09 - Max FPS: 34.49, Min FPS: 14.14, Avg FPS: 29.01, Predictions per frame: 0.00, PPS: 0
2025-03-20 19:42:58 - Max FPS: 15.20, Min FPS: 2.50, Avg FPS: 10.58, Predictions per frame: 1.00, PPS: 7
2025-03-20 19:42:59 - Max FPS: 15.34, Min FPS: 9.60, Avg FPS: 13.17, Predictions per frame: 1.00, PPS: 14
2025-03-20 19:43:00 - Max FPS: 15.14, Min FPS: 9.53, Avg FPS: 13.16, Predictions per frame: 1.00, PPS: 14
2025-03-20 19:43:01 - Max FPS: 13.07, Min FPS: 9.52, Avg FPS: 12.49, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:02 - Max FPS: 14.85, Min FPS: 9.60, Avg FPS: 12.79, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:03 - Max FPS: 13.17, Min FPS: 9.99, Avg FPS: 12.62, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:04 - Max FPS: 14.60, Min FPS: 12.61, Avg FPS: 13.00, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:05 - Max FPS: 14.75, Min FPS: 9.54, Avg FPS: 12.75, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:06 - Max FPS: 14.48, Min FPS: 9.61, Avg FPS: 12.72, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:07 - Max FPS: 14.89, Min FPS: 11.31, Avg FPS: 12.88, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:08 - Max FPS: 15.01, Min FPS: 9.76, Avg FPS: 12.81, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:10 - Max FPS: 14.26, Min FPS: 9.66, Avg FPS: 12.67, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:11 - Max FPS: 13.04, Min FPS: 9.36, Avg FPS: 12.54, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:12 - Max FPS: 13.10, Min FPS: 9.57, Avg FPS: 12.54, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:13 - Max FPS: 14.52, Min FPS: 9.52, Avg FPS: 12.69, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:14 - Max FPS: 14.59, Min FPS: 9.86, Avg FPS: 12.82, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:15 - Max FPS: 13.17, Min FPS: 9.40, Avg FPS: 12.48, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:16 - Max FPS: 13.13, Min FPS: 8.03, Avg FPS: 12.49, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:17 - Max FPS: 14.99, Min FPS: 9.66, Avg FPS: 12.75, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:18 - Max FPS: 13.29, Min FPS: 9.67, Avg FPS: 12.58, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:19 - Max FPS: 14.58, Min FPS: 8.40, Avg FPS: 12.69, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:20 - Max FPS: 13.23, Min FPS: 5.79, Avg FPS: 11.93, Predictions per frame: 1.00, PPS: 12
2025-03-20 19:43:21 - Max FPS: 14.57, Min FPS: 9.66, Avg FPS: 12.66, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:22 - Max FPS: 14.76, Min FPS: 9.73, Avg FPS: 12.73, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:23 - Max FPS: 15.03, Min FPS: 9.78, Avg FPS: 12.84, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:24 - Max FPS: 15.42, Min FPS: 9.56, Avg FPS: 12.88, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:25 - Max FPS: 13.00, Min FPS: 9.64, Avg FPS: 12.57, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:26 - Max FPS: 14.97, Min FPS: 12.42, Avg FPS: 12.98, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:27 - Max FPS: 13.35, Min FPS: 9.62, Avg FPS: 12.46, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:28 - Max FPS: 14.46, Min FPS: 9.65, Avg FPS: 12.68, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:29 - Max FPS: 13.28, Min FPS: 9.81, Avg FPS: 12.53, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:30 - Max FPS: 14.37, Min FPS: 9.67, Avg FPS: 12.69, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:31 - Max FPS: 13.16, Min FPS: 9.69, Avg FPS: 12.50, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:32 - Max FPS: 14.86, Min FPS: 9.89, Avg FPS: 12.72, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:33 - Max FPS: 13.25, Min FPS: 9.77, Avg FPS: 12.50, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:34 - Max FPS: 33.71, Min FPS: 9.73, Avg FPS: 20.19, Predictions per frame: 0.53, PPS: 9
2025-03-20 19:43:35 - Max FPS: 33.55, Min FPS: 17.17, Avg FPS: 28.90, Predictions per frame: 0.00, PPS: 0
2025-03-20 19:43:36 - Max FPS: 32.82, Min FPS: 17.35, Avg FPS: 29.22, Predictions per frame: 0.00, PPS: 0
2025-03-20 19:43:37 - Max FPS: 33.07, Min FPS: 17.18, Avg FPS: 28.35, Predictions per frame: 0.00, PPS: 0
2025-03-20 19:43:39 - Max FPS: 33.22, Min FPS: 12.20, Avg FPS: 27.80, Predictions per frame: 0.07, PPS: 2
2025-03-20 19:43:40 - Max FPS: 14.83, Min FPS: 9.46, Avg FPS: 12.74, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:41 - Max FPS: 15.18, Min FPS: 9.73, Avg FPS: 12.82, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:42 - Max FPS: 14.22, Min FPS: 9.84, Avg FPS: 12.77, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:43 - Max FPS: 14.83, Min FPS: 9.55, Avg FPS: 12.82, Predictions per frame: 1.00, PPS: 13
2025-03-20 19:43:44 - Max FPS: 13.20, Min FPS: 9.64, Avg FPS: 12.57, Predictions per frame: 1.00, PPS: 13
